,Symbol,Company_Name,Industry,Market_Cap_Millions
2874,IMAC,IMAC Holdings,Health Care Providers & Services,27
2875,IMAQ,International Media Acquisition,Blank Check / SPAC,295
2876,IMAX,IMAX Corporation,Entertainment,973
2877,IMBI,iMedia Brands,Internet & Direct Marketing Retail,30
2878,IMCC,IM Cannabis,Drug Manufacturers-Specialty & Generic,45
2879,IMCR,Immunocore Holdings,Biotechnology,1900
2880,IMGN,ImmunoGen,Biotechnology,1190
2881,IMGO,Imago BioSciences,Biotechnology,557
2882,IMH,Impac Mortgage Holdings,Thrifts & Mortgage Finance,12
2883,IMKTA,"Ingles Markets,",Food & Staples Retailing,1720
2884,IMMP,Immutep,Biotechnology,187
2885,IMMR,Immersion,"Technology Hardware, Storage & Periph...",182
2886,IMMX,Immix Biopharma,Biotechnology,37
2887,IMNM,Immunome,Biotechnology,47
2888,IMO,Imperial Oil,"Oil, Gas & Consumable Fuels",26560
2889,IMOS,ChipMOS Technologies,Semiconductors & Semiconductor Equipment,829
2890,IMPL,Impel NeuroPharma,Biotechnology,186
2891,IMPP,Imperial Petroleum,Oil & Gas E&P,76
2892,IMPX,AEA-Bridges Impact,Shell Companies,497
2893,IMRA,IMARA,Biotechnology,30
2894,IMRN,Immuron,Biotechnology,14
2895,IMRX,Immuneering,Biotechnology,191
2896,IMTE,Integrated Media Technology,"Electronic Equipment, Instruments & C...",32
2897,IMTX,Immatics,Biotechnology,542
2898,IMUX,Immunic,Biotechnology,119
2899,IMV,IMV Inc.,Biotechnology,46
2900,IMVT,Immunovant,Biotechnology,505
2901,IMXI,International Money Express,IT Services,822
2902,INAB,IN8bio,Biotechnology,40
2903,INAQ,Insight Acquisition,Blank Check / SPAC,295
2904,INBK,First Internet Bancorp,Banks,352
2905,INBX,Inhibrx,Biotechnology,674
2906,INCR,Intercure,Drug Manufacturers-Specialty & Generic,262
2907,INCY,Incyte,Biotechnology,17730
2908,INDB,Independent Bank,Banks,3710
2909,INDI,indie Semiconductor,Semiconductor Equipment & Materials,712
2910,INDO,Indonesia Energy,"Oil, Gas & Consumable Fuels",50
2911,INDP,Indaptus Therapeutics,Biotechnology,27
2912,INDT,INDUS Realty Trust,Equity Real Estate Investment Trusts ...,609
2913,INFA,Informatica,Software,5640
2914,INFI,Infinity Pharmaceuticals,Biotechnology,59
2915,INFN,Infinera,Communications Equipment,1260
2916,INFU,InfuSystem Holdings,Health Care Providers & Services,199
2917,INFY,Infosys,IT Services,76200
2918,ING,ING Group,Banks,32830
2919,INGN,Inogen,Health Care Equipment & Supplies,657
2920,INGR,Ingredion,Food Products,5690
2921,INKA,KludeIn I Acquisition,Blank Check / SPAC,216
2922,INKT,MiNK Therapeutics,Biotechnology,42
2923,INM,InMed Pharmaceuticals,Biotechnology,6
2924,INMB,Inmune Bio,Biotechnology,183
2925,INMD,InMode,Health Care Equipment & Supplies,2270
2926,INN,Summit Hotel Properties,Equity Real Estate Investment Trusts ...,792
2927,INNV,Innovage Holding,Medical Care Facilities,635
2928,INO,Inovio Pharmaceuticals,Biotechnology,451
2929,INOD,Innodata,IT Services,123
2930,INPX,Inpixon,IT Services,21
2931,INSE,Inspired Entertainment,"Hotels, Restaurants & Leisure",223
2932,INSG,Inseego,Communications Equipment,218
2933,INSM,Insmed,Biotechnology,2760
2934,INSP,Inspire Medical Systems,Health Care Technology,5510
2935,INST,Instructure Holdings,Software-Application,3320
2936,INSW,International Seaways,"Oil, Gas & Consumable Fuels",1010
2937,INT,World Fuel Services,"Oil, Gas & Consumable Fuels",1360
2938,INTA,Intapp,Software-Application,926
2939,INTC,Intel,Semiconductors & Semiconductor Equipment,157920
2940,INTE,Integral Acquisition 1,Blank Check / SPAC,142
2941,INTG,The InterGroup Corporation,Real Estate Management & Development,102
2942,INTR,Inter & Co.,Trading Companies & Distributors,6500
2943,INTT,inTEST,Semiconductors & Semiconductor Equipment,72
2944,INTU,Intuit,Software,110840
2945,INTZ,Intrusion,Software,73
2946,INUV,Inuvo,Software,58
2947,INVA,Innoviva,Pharmaceuticals,1000
2948,INVE,Identiv,"Electronic Equipment, Instruments & C...",264
2949,INVH,Invitation Homes,Equity Real Estate Investment Trusts ...,21950
2950,INVO,INVO Bioscience,Health Care Equipment & Supplies,11
2951,INVZ,Innoviz Technologies,Auto Parts,511
2952,INZY,Inozyme Pharma,Biotechnology,200
2953,IOAC,Innovative International Acquisition,Blank Check / SPAC,321
2954,IOBT,IO Biotech,Biotechnology,121
2955,IONM,Assure Holdings,Medical Care Facilities,18
2956,IONQ,"IonQ, Inc.",Computer Hardware,897
2957,IONR,ioneer,Other Industrial Metals & Mining,653
2958,IONS,Ionis Pharmaceuticals,Biotechnology,5570
2959,IOR,Income Opportunity Realty Investors,Thrifts & Mortgage Finance,48
2960,IOSP,Innospec,Chemicals,2310
2961,IOT,Samsara,Software-Infrastructure,7230
2962,IOVA,Iovance Biotherapeutics,Biotechnology,2009
2963,IP,International Paper Company,Containers & Packaging,15540
2964,IPA,ImmunoPrecise Antibodies,Biotechnology,89
2965,IPAR,Inter Parfums,Personal Products,2300
2966,IPAX,Inflection Point Acquisition,Blank Check / SPAC,399
2967,IPDN,Professional Diversity Network,Staffing & Employment Services,12
2968,IPG,The Interpublic Group of Companies,Media,11030
2969,IPGP,IPG Photonics,"Electronic Equipment, Instruments & C...",4890
2970,IPHA,Innate Pharma,Biotechnology,220
2971,IPI,Intrepid Potash,Chemicals,518
2972,IPOD,Social Capital Hedosophia Holdings IV,Blank Check / SPAC,572
2973,IPOF,Social Capital Hedosophia Holdings VI,Blank Check / SPAC,1430
2974,IPSC,Century Therapeutics,Biotechnology,623
2975,IPVA,InterPrivate II Acquisition,Blank Check / SPAC,319
2976,IPVF,InterPrivate III Financial Partners,Blank Check / SPAC,326
2977,IPVI,InterPrivate IV InfraTech Partners,Blank Check / SPAC,352
2978,IPW,iPower,Internet Retail,33
2979,IPWR,Ideal Power,Electrical Equipment,62
2980,IPX,IperionX,Other Industrial Metals & Mining,66
2981,IQ,iQIYI,Entertainment,3150
2982,IQMD,Intelligent Medicine Acquisition,Blank Check / SPAC,259
2983,IQV,IQVIA Holdings,Life Sciences Tools & Services,41470
2984,IR,Ingersoll Rand,Machinery,16640
2985,IRBT,iRobot,Household Durables,1000
2986,IRDM,Iridium Communications,Diversified Telecommunication Services,5030
2987,IREN,Iris Energy,Capital Markets,178
2988,IRIX,IRIDEX,Health Care Equipment & Supplies,41
2989,IRM,Iron Mountain,Equity Real Estate Investment Trusts ...,13030
2990,IRMD,IRadimed,Health Care Equipment & Supplies,462
2991,IRNT,IronNet,Software,246
2992,IROQ,IF Bancorp,Thrifts & Mortgage Finance,63
2993,IRRX,Integrated Rail & Resources Acquisition,Blank Check / SPAC,286
2994,IRS,IRSA Inversiones y Representaciones,Real Estate Management & Development,273
2995,IRT,Independence Realty Trust,Equity Real Estate Investment Trusts ...,4750
2996,IRTC,iRhythm Technologies,Health Care Equipment & Supplies,4280
2997,IRWD,Ironwood Pharmaceuticals,Biotechnology,1790
2998,IS,ironSource,Software-Application,3570
2999,ISAA,Iron Spark I,Shell Companies,217
3000,ISDR,Issuer Direct,Software,95
3001,ISEE,IVERIC bio,Biotechnology,1360
3002,ISIG,Insignia Systems,Media,17
3003,ISLE,Isleworth Healthcare Acquisition,Blank Check / SPAC,261
3004,ISO,IsoPlexis,Medical Devices,128
3005,ISPC,iSpecimen,Diagnostics & Research,21
3006,ISPO,Inspirato,Leisure,237
3007,ISR,IsoRay,Biotechnology,46
3008,ISRG,Intuitive Surgical,Health Care Equipment & Supplies,75710
3009,ISSC,Innovative Solutions & Support,Aerospace & Defense,109
3010,ISTR,Investar Holding,Banks,225
3011,ISUN,"iSun, Inc.",Solar,41
3012,IT,Gartner,IT Services,19380
3013,ITAQ,Industrial Tech Acquisitions II,Blank Check / SPAC,171
3014,ITCB,Itau Corpbanca,Banks,1890
3015,ITCI,Intra-Cellular Therapies,Pharmaceuticals,5210
3016,ITGR,Integer Holdings,Health Care Equipment & Supplies,2240
3017,ITHX,ITHAX Acquisition,Blank Check / SPAC,431
3018,ITI,Iteris,"Electronic Equipment, Instruments & C...",114
3019,ITIC,Investors Title Company,Insurance,270
3020,ITOS,iTeos Therapeutics,Biotechnology,870
3021,ITP,IT Tech Packaging,Paper & Forest Products,9
3022,ITQ,Itiquira Acquisition,Blank Check / SPAC,283
3023,ITRG,Integra Resources,Other Precious Metals & Mining,42
3024,ITRI,Itron,"Electronic Equipment, Instruments & C...",2180
3025,ITRM,Iterum Therapeutics,Pharmaceuticals,48
3026,ITRN,Ituran Location & Control,Communications Equipment,493
3027,ITT,ITT Inc.,Machinery,5590
3028,ITUB,Itau Unibanco Holding,Banks,40480
3029,ITW,Illinois Tool Works,Machinery,56250
3030,IVA,Inventiva,Biotechnology,217
3031,IVAC,Intevac,"Technology Hardware, Storage & Periph...",127
3032,IVC,Invacare,Health Care Equipment & Supplies,44
3033,IVCA,Investcorp Acquisition,Blank Check / SPAC,324
3034,IVCB,Investcorp Europe Acquisition Corp I,Blank Check / SPAC,430
3035,IVCP,Swiftmerge Acquisition,Blank Check / SPAC,245
3036,IVR,Invesco Mortgage Capital,Mortgage Real Estate Investment Trust...,485
3037,IVT,InvenTrust Properties,REIT-Retail,1780
3038,IVZ,Invesco,Capital Markets,7390
3039,IX,ORIX Corporation,Diversified Financial Services,19520
3040,IXAQ,IX Acquisition,Blank Check / SPAC,282
3041,IXHL,Incannex Healthcare,Drug Manufacturers-Specialty & Generic,176
3042,IZEA,IZEA Worldwide,Interactive Media & Services,58
3043,J,Jacobs Engineering Group,Construction & Engineering,16140
3044,JACK,Jack in the Box,"Hotels, Restaurants & Leisure",1300
3045,JAGX,Jaguar Health,Pharmaceuticals,24
3046,JAKK,JAKKS Pacific,Leisure Products,130
3047,JAMF,Jamf Holding,Software,2900
3048,JAN,JanOne,Commercial Services & Supplies,7
3049,JANX,Janux Therapeutics,Biotechnology,701
3050,JAQC,Jupiter Acquisition,Blank Check / SPAC,196
3051,JATT,JATT Acquisition,Blank Check / SPAC,171
3052,JAZZ,Jazz Pharmaceuticals,Pharmaceuticals,9830
3053,JBGS,JBG SMITH Properties,Equity Real Estate Investment Trusts ...,2950
3054,JBHT,J.B. Hunt Transport Services,Road & Rail,17560
3055,JBI,Janus International Group,Building Products & Equipment,1400
3056,JBL,Jabil,"Electronic Equipment, Instruments & C...",7330
3057,JBLU,JetBlue Airways,Airlines,2600
3058,JBSS,John B. Sanfilippo & Son,Food Products,858
3059,JBT,John Bean Technologies,Machinery,3380
3060,JCI,Johnson Controls International,Building Products,32630
3061,JCIC,Jack Creek Investment,Blank Check / SPAC,424
3062,JCSE,JE Cleantech Holdings,Specialty Industrial Machinery,176
3063,JCTCF,Jewett-Cameron Trading Company,Building Products,23
3064,JD,JD.com,Internet & Direct Marketing Retail,95850
3065,JEF,Jefferies Financial Group,Diversified Financial Services,6590
3066,JELD,JELD-WEN Holding,Building Products,1330
3067,JFIN,Jiayin Group,Consumer Finance,126
3068,JFU,9F Inc.,Interactive Media & Services,195
3069,JG,Aurora Mobile,Software,109
3070,JGGC,Jaguar Global Growth Corporation I,Blank Check / SPAC,302
3071,JHG,Janus Henderson Group,Capital Markets,3930
3072,JHX,James Hardie Industries,Construction Materials,10300
3073,JILL,J.Jill,Specialty Retail,174
3074,JJSF,J & J Snack Foods,Food Products,2650
3075,JKHY,Jack Henry & Associates,IT Services,13840
3076,JKS,JinkoSolar Holding Company,Semiconductors & Semiconductor Equipment,3100
3077,JLL,Jones Lang LaSalle,Real Estate Management & Development,8550
3078,JMAC,Jade Mountain Acquisition,Blank Check / SPAC,161
3079,JMIA,Jumia Technologies AG,Internet & Direct Marketing Retail,530
3080,JMSB,John Marshall Bancorp,Banks,321
3081,JNCE,Jounce Therapeutics,Biotechnology,176
3082,JNJ,Johnson & Johnson,Pharmaceuticals,468990
3083,JNPR,Juniper Networks,Communications Equipment,9210
3084,JOAN,JOANN,Specialty Retail,328
3085,JOB,GEE Group,Professional Services,65
3086,JOBY,Joby Aviation,Airports & Air Services,3190
3087,JOE,The St. Joe Company,Real Estate Management & Development,2330
3088,JOFF,JOFF Fintech Acquisition,Blank Check / SPAC,507
3089,JOUT,Johnson Outdoors,Leisure Products,656
3090,JPM,JPMorgan Chase & Co.,Banks,331740
3091,JPPYY,Jupai Holdings,Capital Markets,1
3092,JRSH,Jerash Holdings (US),"Textiles, Apparel & Luxury Goods",60
3093,JRVR,James River Group Holdings,Insurance,804
3094,JSPR,Jasper Therapeutics,Biotechnology,73
3095,JT,Jianpu Technology,Consumer Finance,31
3096,JUGG,JAWS Juggernaut Acquisition,Blank Check / SPAC,335
3097,JUN,Juniper II,Blank Check / SPAC,371
3098,JUPW,Jupiter Wellness,Drug Manufacturers-Specialty & Generic,15
3099,JVA,Coffee Holding Co.,Food Products,15
3100,JWAC,Jupiter Wellness Acquisition,Blank Check / SPAC,181
3101,JWEL,Jowell Global,Internet Retail,72
3102,JWN,Nordstrom,Multiline Retail,3210
3103,JWSM,Jaws Mustang Acquisition,Blank Check / SPAC,1270
3104,JXN,Jackson Financial,Insurance-Life,2150
3105,JYAC,Jiya Acquisition,Blank Check / SPAC,132
3106,JYNT,The Joint,Health Care Providers & Services,216
3107,JZXN,Jiuzi Holdings,Auto & Truck Dealerships,16
3108,K,Kellogg Company,Food Products,24480
3109,KACL,Kairous Acquisition,Blank Check / SPAC,101
3110,KAHC,KKR Acquisition Holdings I,Blank Check / SPAC,1690
3111,KAI,Kadant,Machinery,2180
3112,KAII,Kismet Acquisition Two,Blank Check / SPAC,286
3113,KAIR,Kairos Acquisition,Blank Check / SPAC,339
3114,KAL,Kalera Public Limited Company,Farm Products,118
3115,KALA,Kala Pharmaceuticals,Pharmaceuticals,24
3116,KALU,Kaiser Aluminum,Metals & Mining,1190
3117,KALV,KalVista Pharmaceuticals,Biotechnology,302
3118,KAMN,Kaman,Trading Companies & Distributors,828
3119,KAR,KAR Auction Services,Commercial Services & Supplies,1890
3120,KARO,Karooooo,Software-Application,662
3121,KAVL,Kaival Brands Innovations Group,Tobacco,33
3122,KB,KB Financial Group,Banks,11970
3123,KBAL,Kimball International,Commercial Services & Supplies,284
3124,KBH,KB Home,Household Durables,2650
3125,KBNT,Kubient,Software-Application,14
3126,KBR,"KBR, Inc.",IT Services,6670
3127,KC,Kingsoft Cloud Holdings,IT Services,874
3128,KCAC,Kensington Capital Acquisition IV,Blank Check / SPAC,287
3129,KCGI,Kensington Capital Acquisition V,Blank Check / SPAC,342
3130,KD,Kyndryl Holdings,Information Technology Services,2110
3131,KDNY,Chinook Therapeutics,Biotechnology,1150
3132,KDP,Keurig Dr Pepper,Beverages,51960
3133,KE,Kimball Electronics,"Electronic Equipment, Instruments & C...",476
3134,KELYA,Kelly Services,Professional Services,751
3135,KELYB,Kelly Services,Professional Services,751
3136,KEN,Kenon Holdings,Independent Power and Renewable Elect...,2190
3137,KEP,Korea Electric Power,Electric Utilities,10540
3138,KEQU,Kewaunee Scientific,Health Care Equipment & Supplies,49
3139,KERN,Akerna,Professional Services,11
3140,KEX,Kirby,Marine,3480
3141,KEY,KeyCorp,Banks,16340
3142,KEYS,Keysight Technologies,"Electronic Equipment, Instruments & C...",25840
3143,KFFB,Kentucky First Federal Bancorp,Thrifts & Mortgage Finance,63
3144,KFRC,Kforce,Professional Services,1310
3145,KFS,Kingsway Financial Services,Insurance,144
3146,KFY,Korn Ferry,Professional Services,3140
3147,KGC,Kinross Gold,Metals & Mining,4010
3148,KHC,The Kraft Heinz Company,Food Products,46530
3149,KIDS,OrthoPediatrics,Health Care Equipment & Supplies,852
3150,KIII,Kismet Acquisition Three,Blank Check / SPAC,357
3151,KIM,Kimco Realty,Equity Real Estate Investment Trusts ...,12430
3152,KIND,Nextdoor Holdings,Internet Content & Information,1270
3153,KINS,Kingstone Companies,Insurance,40
3154,KINZ,Kins Technology Group,Blank Check / SPAC,350
3155,KIQ,Kelso Technologies,Machinery,16
3156,KIRK,Kirkland's,Specialty Retail,49
3157,KKR,KKR & Co.,Capital Markets,41130
3158,KLAC,KLA Corporation,Semiconductors & Semiconductor Equipment,46550
3159,KLAQ,KL Acquisition,Blank Check / SPAC,354
3160,KLIC,Kulicke & Soffa Industries,Semiconductors & Semiconductor Equipment,2690
3161,KLR,Kaleyra,Software,82
3162,KLTR,Kaltura,Software-Infrastructure,260
3163,KLXE,KLX Energy Services Holdings,Energy Equipment & Services,46
3164,KMB,Kimberly-Clark,Household Products,45380
3165,KMDA,Kamada,Biotechnology,215
3166,KMI,Kinder Morgan,"Oil, Gas & Consumable Fuels",38000
3167,KMPH,KemPharm,Pharmaceuticals,174
3168,KMPR,Kemper,Insurance,3040
3169,KMT,Kennametal,Machinery,1950
3170,KMX,CarMax,Specialty Retail,14570
3171,KN,Knowles,"Electronic Equipment, Instruments & C...",1650
3172,KNBE,KnowBe4,Software-Infrastructure,2870
3173,KNDI,Kandi Technologies Group,Auto Components,201
3174,KNOP,KNOT Offshore Partners,"Oil, Gas & Consumable Fuels",600
3175,KNSA,Kiniksa Pharmaceuticals,Biotechnology,779
3176,KNSL,Kinsale Capital Group,Insurance,5210
3177,KNSW,KnightSwan Acquisition,Blank Check / SPAC,286
3178,KNTE,Kinnate Biopharma,Biotechnology,563
3179,KNTK,Kinetik Holdings,"Oil, Gas & Consumable Fuels",1450
3180,KNX,Knight-Swift Transportation Holdings,Road & Rail,7900
3181,KO,The Coca-Cola Company,Beverages,270940
3182,KOD,Kodiak Sciences,Biotechnology,472
3183,KODK,Eastman Kodak Company,"Technology Hardware, Storage & Periph...",391
3184,KOF,Coca-Cola Femsa,Beverages,11570
3185,KOP,Koppers Holdings,Chemicals,455
3186,KOPN,Kopin,Semiconductors & Semiconductor Equipment,132
3187,KORE,KORE Group Holdings,Telecom Services,231
3188,KOS,Kosmos Energy,"Oil, Gas & Consumable Fuels",2420
3189,KOSS,Koss Corporation,Household Durables,65
3190,KPLT,Katapult Holdings,Software-Infrastructure,118
3191,KPRX,Kiora Pharmaceuticals,Biotechnology,3
3192,KPTI,Karyopharm Therapeutics,Biotechnology,374
3193,KR,The Kroger Company,Food & Staples Retailing,34170
3194,KRBP,Kiromic BioPharma,Biotechnology,6
3195,KRC,Kilroy Realty,Equity Real Estate Investment Trusts ...,6100
3196,KREF,KKR Real Estate Finance Trust,Mortgage Real Estate Investment Trust...,1270
3197,KRG,Kite Realty Group Trust,Equity Real Estate Investment Trusts ...,3890
3198,KRKR,36Kr Holdings,Interactive Media & Services,46
3199,KRMD,Repro Med Systems,Health Care Equipment & Supplies,116
3200,KRNL,Kernel Group Holdings,Blank Check / SPAC,374
3201,KRNT,Kornit Digital,Machinery,1180
3202,KRNY,Kearny Financial,Thrifts & Mortgage Finance,738
3203,KRO,Kronos Worldwide,Chemicals,1890
3204,KRON,Kronos Bio,Biotechnology,280
3205,KROS,Keros Therapeutics,Biotechnology,734
3206,KRP,Kimbell Royalty Partners,"Oil, Gas & Consumable Fuels",1040
3207,KRT,Karat Packaging,Packaging & Containers,381
3208,KRTX,Karuna Therapeutics,Biotechnology,4040
3209,KRUS,Kura Sushi USA,"Hotels, Restaurants & Leisure",751
3210,KRYS,Krystal Biotech,Biotechnology,1860
3211,KSCP,Knightscope,Security & Protection Services,107
3212,KSI,Kadem Sustainable Impact,Blank Check / SPAC,214
3213,KSPN,Kaspien Holdings,Specialty Retail,10
3214,KSS,Kohl's,Multiline Retail,3630
3215,KT,KT Corporation,Diversified Telecommunication Services,6580
3216,KTB,Kontoor Brands,"Textiles, Apparel & Luxury Goods",1970
3217,KTCC,Key Tronic,"Electronic Equipment, Instruments & C...",47
3218,KTOS,Kratos Defense & Security Solutions,Aerospace & Defense,1630
3219,KTRA,Kintara Therapeutics,Biotechnology,16
3220,KTTA,Pasithea Therapeutics,Biotechnology,26
3221,KUKE,Kuke Music Holding,Entertainment,39
3222,KULR,KULR Technology Group,Electronic Components,155
3223,KURA,Kura Oncology,Biotechnology,1200
3224,KVHI,KVH Industries,Communications Equipment,154
3225,KVSA,Khosla Ventures Acquisition Co.,Blank Check / SPAC,395
3226,KVSC,Khosla Ventures Acquisition Co. III,Blank Check / SPAC,612
3227,KW,Kennedy-Wilson Holdings,Real Estate Management & Development,2610
3228,KWAC,Kingswood Acquisition,Blank Check / SPAC,144
3229,KWR,Quaker Chemical,Chemicals,2440
3230,KXIN,Kaixin Auto Holdings,Specialty Retail,172
3231,KYCH,Keyarch Acquisition,Blank Check / SPAC,148
3232,KYMR,Kymera Therapeutics,Biotechnology,1200
3233,KZIA,Kazia Therapeutics,Biotechnology,52
3234,KZR,Kezar Life Sciences,Biotechnology,620
3235,L,Loews,Insurance,13890
3236,LAAA,Lakeshore Acquisition I,Blank Check / SPAC,70
3237,LAB,Standard BioTools,Diagnostics & Research,116
3238,LABP,Landos Biopharma,Biotechnology,32
3239,LAC,Lithium Americas,Metals & Mining,2740
3240,LAD,Lithia Motors,Specialty Retail,8130
3241,LADR,Ladder Capital,Mortgage Real Estate Investment Trust...,1370
3242,LAKE,Lakeland Industries,"Textiles, Apparel & Luxury Goods",122
3243,LAMR,Lamar Advertising Company,Equity Real Estate Investment Trusts ...,9300
3244,LANC,Lancaster Colony,Food Products,3580
3245,LAND,Gladstone Land,Equity Real Estate Investment Trusts ...,817
3246,LARK,Landmark Bancorp,Banks,125
3247,LASR,nLIGHT,"Electronic Equipment, Instruments & C...",463
3248,LATG,LatAmGrowth SPAC,Blank Check / SPAC,162
3249,LAUR,Laureate Education,Diversified Consumer Services,1970
3250,LAW,CS Disco,Software-Application,1260
3251,LAX,8i Acquisition 2,Blank Check / SPAC,109
3252,LAZ,Lazard,Capital Markets,3280
3253,LAZR,Luminar Technologies,Auto Components,2150
3254,LAZY,Lazydays Holdings,Specialty Retail,153
3255,LBAI,Lakeland Bancorp,Banks,937
3256,LBBB,Lakeshore Acquisition II,Blank Check / SPAC,90
3257,LBC,Luther Burbank,Thrifts & Mortgage Finance,642
3258,LBPH,Longboard Pharmaceuticals,Biotechnology,56
3259,LBPS,4D pharma,Biotechnology,37
3260,LBRDA,Liberty Broadband,Media,19240
3261,LBRDK,Liberty Broadband,Media,19240
3262,LBRT,Liberty Oilfield Services,Energy Equipment & Services,2150
3263,LBTYA,Liberty Global,Media,10840
3264,LBTYB,Liberty Global,Diversified Telecommunication Services,10920
3265,LBTYK,Liberty Global,Media,10840
3266,LC,LendingClub,Consumer Finance,1320
3267,LCA,Landcadia Holdings IV,Blank Check / SPAC,610
3268,LCAA,L Catterton Asia Acquisition,Blank Check / SPAC,351
3269,LCFY,Locafy,Internet Content & Information,10
3270,LCI,Lannett Company,Pharmaceuticals,25
3271,LCID,Lucid Group,Automobiles,32820
3272,LCII,LCI Industries,Auto Components,3080
3273,LCNB,LCNB Corporation,Banks,169
3274,LCTX,Lineage Cell Therapeutics,Biotechnology,278
3275,LCUT,Lifetime Brands,Household Durables,231
3276,LCW,Learn CW Investment,Blank Check / SPAC,248
3277,LDHA,LDH Growth I,Blank Check / SPAC,281
3278,LDI,loanDepot,Mortgage Finance,541
3279,LDOS,Leidos Holdings,IT Services,13490
3280,LE,Lands' End,Internet & Direct Marketing Retail,399
3281,LEA,Lear Corporation,Auto Components,7730
3282,LEAP,Ribbit LEAP,Shell Companies,580
3283,LECO,Lincoln Electric Holdings,Machinery,7190
3284,LEDS,SemiLEDs,Semiconductors & Semiconductor Equipment,12
3285,LEE,"Lee Enterprises,",Media,106
3286,LEG,Leggett & Platt,Household Durables,4920
3287,LEGA,"Lead Edge Growth Opportunities,",Blank Check / SPAC,422
3288,LEGH,Legacy Housing,Household Durables,305
3289,LEGN,Legend Biotech,Biotechnology,8240
3290,LEJU,Leju Holdings,Internet & Direct Marketing Retail,30
3291,LEN,Lennar,Household Durables,22210
3292,LEN.B,Lennar,Construction & Engineering,22210
3293,LESL,Leslie's,Home Improvement Retail,2760
3294,LEU,Centrus Energy,"Oil, Gas & Consumable Fuels",404
3295,LEV,The Lion Electric Company,Machinery,815
3296,LEVI,Levi Strauss & Co.,"Textiles, Apparel & Luxury Goods",6910
3297,LEXX,Lexaria Bioscience,Biotechnology,17
3298,LFAC,LF Capital Acquisition II,Blank Check / SPAC,323
3299,LFC,China Life Insurance Company,Insurance,97290
3300,LFG,Archaea Energy,Utilities-Renewable,1600
3301,LFLY,Leafly Holdings,Pharmaceutical Retailers,175
3302,LFMD,LifeMD,Pharmaceutical Retailers,64
3303,LFST,Lifestance Health Group,Medical Care Facilities,2240
3304,LFT,Lument Finance Trust,REIT-Mortgage,124
3305,LFTR,Lefteris Acquisition,Blank Check / SPAC,256
3306,LFUS,Littelfuse,"Electronic Equipment, Instruments & C...",6050
3307,LFVN,LifeVantage,Personal Products,52
3308,LGAC,Lazard Growth Acquisition I,Blank Check / SPAC,706
3309,LGF.A,Lions Gate Entertainment,Entertainment,1830
3310,LGF.B,Lions Gate Entertainment,Entertainment,1830
3311,LGHL,Lion Group Holding,Capital Markets,69
3312,LGIH,LGI Homes,Household Durables,2280
3313,LGL,LGL Group,"Electronic Equipment, Instruments & C...",74
3314,LGMK,LogicMark,Security & Protection Services,10
3315,LGND,Ligand Pharmaceuticals,Biotechnology,1590
3316,LGO,Largo,Other Industrial Metals & Mining,422
3317,LGST,Semper Paratus Acquisition,Blank Check / SPAC,482
3318,LGTO,Legato Merger II,Blank Check / SPAC,356
3319,LGV,Longview Acquisition II,Blank Check / SPAC,846
3320,LGVC,LAMF Global Ventures I,Blank Check / SPAC,347
3321,LGVN,Longeveron,Biotechnology,132
3322,LH,Laboratory Corporation of America Holdings,Health Care Providers & Services,22670
3323,LHAA,Lerer Hippeau Acquisition,Blank Check / SPAC,279
3324,LHC,Leo Holdings II,Blank Check / SPAC,461
3325,LHCG,LHC Group,Health Care Providers & Services,5040
3326,LHDX,Lucira Health,Medical Devices,102
3327,LHX,L3Harris Technologies,Aerospace & Defense,43170
3328,LI,Li Auto,Automobiles,37130
3329,LIAN,LianBio,Biotechnology,249
3330,LIBY,Liberty Resources Acquisition,Blank Check / SPAC,149
3331,LICY,Li-Cycle Holdings,Waste Management,1100
3332,LIDR,"AEye, Inc.",Auto Parts,298
3333,LIFE,aTyr Pharma,Biotechnology,82
3334,LII,Lennox International,Building Products,7760
3335,LILA,Liberty Latin America,Diversified Telecommunication Services,1580
3336,LILAK,Liberty Latin America,Media,1580
3337,LILM,Lilium,Aerospace & Defense,739
3338,LIN,Linde,Chemicals,139240
3339,LINC,Lincoln Educational Services,Diversified Consumer Services,181
3340,LIND,Lindblad Expeditions Holdings,"Hotels, Restaurants & Leisure",356
3341,LINK,Interlink Electronics,"Electronic Equipment, Instruments & C...",55
3342,LION,Lionheart III,Blank Check / SPAC,160
3343,LIQT,LiqTech International,Machinery,22
3344,LITB,LightInTheBox Holding Co.,Internet & Direct Marketing Retail,123
3345,LITE,Lumentum Holdings,Communications Equipment,5660
3346,LITM,Snow Lake Resources,Other Industrial Metals & Mining,39
3347,LITT,Logistics Innovation Technologies,Shell Companies,415
3348,LIVB,LIV Capital Acquisition II,Blank Check / SPAC,126
3349,LIVE,Live Ventures,Household Durables,91
3350,LIVN,LivaNova,Health Care Equipment & Supplies,3280
3351,LIXT,Lixte Biotechnology Holdings,Biotechnology,13
3352,LIZI,Lizhi,Internet Content & Information,59
3353,LJAQ,LightJump Acquisition,Blank Check / SPAC,174
3354,LJPC,La Jolla Pharmaceutical Company,Biotechnology,153
3355,LKCO,Luokung Technology,Interactive Media & Services,157
3356,LKFN,Lakeland Financial,Banks,1680
3357,LKQ,LKQ Corporation,Distributors,14130
3358,LL,Lumber Liquidators Holdings,Specialty Retail,287
